y;x;editions;leftlambert;toplambert;rightlambert;lambert;west;north;east;south
12;28;1980;601200;141424;601800;141024;2.35289606;48.97317796;2.36109042;48.96957945
13;27;1986;600600;141024;601200;140624;2.34469943;48.96958170;2.35289379;48.96598378
13;28;1980;601200;141024;601800;140624;2.35289492;48.96958087;2.36108869;48.96598236
14;27;1986;600600;140624;601200;140224;2.34469889;48.96598461;2.35289265;48.96238669
15;27;1988;600600;140224;601200;139824;2.34469835;48.96238751;2.35289152;48.95878960
22;53;;616200;137424;616800;137024;2.55763778;48.93699574;2.56581129;48.93338258
22;54;1978;616800;137424;617400;137024;2.56582785;48.93697966;2.57400077;48.93336592
23;52;1973;615600;137024;616200;136624;2.54943232;48.93341415;2.55760584;48.92980158
23;53;1993;616200;137024;616800;136624;2.55762181;48.93339866;2.56579473;48.92978551
23;54;1977;616800;137024;617400;136624;2.56581129;48.93338258;2.57398361;48.92976885
23;55;1973;617400;137024;618000;136624;2.57400077;48.93336592;2.58217249;48.92975160
23;56;1974;618000;137024;618600;136624;2.58219024;48.93334867;2.59036136;48.92973377
23;57;1974;618600;137024;619200;136624;2.59037970;48.93333084;2.59855023;48.92971535
24;52;2003;615600;136624;616200;136224;2.54941694;48.92981707;2.55758987;48.92620451
24;53;1978;616200;136624;616800;136224;2.55760584;48.92980158;2.56577817;48.92618844
24;56;1973;618000;136624;618600;136224;2.58217249;48.92975160;2.59034302;48.92613670
24;57;1973;618600;136624;619200;136224;2.59036136;48.92973377;2.59853129;48.92611828
25;51;1974;615000;136224;615600;135824;2.54121327;48.92623490;2.54938620;48.92262292
25;52;1975;615600;136224;616200;135824;2.54940157;48.92622000;2.55757391;48.92260743
25;53;1974;616200;136224;616800;135824;2.55758987;48.92620451;2.56576161;48.92259136
25;57;1973;618600;136224;619200;135824;2.59034302;48.92613670;2.59851236;48.92252121
26;51;1973;615000;135824;615600;135424;2.54119849;48.92263782;2.54937083;48.91902584
26;52;1973;615600;135824;616200;135424;2.54938620;48.92262292;2.55755795;48.91901036
26;53;1973;616200;135824;616800;135424;2.55757391;48.92260743;2.56574506;48.91899429
27;50;1971;614400;135424;615000;135024;2.53299659;48.91905505;2.54116894;48.91544366
